爆米花,-0.004,old
雞腿排便當,-0.002,old
鮮奶茶,0.0,old
炸雞,0.0,old
麵包,0.001,old
蔬菜,0.002,old
麥當勞,0.004,old
餅乾,0.005,old
煎餃,0.005,old
壽司,0.005,old
臭豆腐,0.008,old
蛋,0.011,old
御飯糰,0.019,old
雞排便當,0.025,old
紅茶,0.027,old
皮蛋,0.033,old
大腸麵線,0.035,old
果醬吐司,0.035,old
飲料,0.042,old
肉粽,0.044,old
蒸蛋,0.044,old
鴨血,0.047,old
漢堡,0.047,old
油條,0.05,old
掛包,0.05,old
鮮奶,0.05,old
餐,0.053,old
玉米筍,0.053,old
薯條,0.059,old
蝦捲,0.059,old
白飯,0.068,old
牛肉麵,0.071,old
麻辣燙,0.071,old
IKEA,0.073,old
韓式年糕,0.074,old
披薩,0.077,old
豬排蛋餅,0.087,old
梅酥雞便當大,0.093,old
三明治,0.096,old
Yogurt,0.099,old
冰淇淋大福,0.102,old
牛奶布丁,0.109,old
蘋果,0.115,old
烏龍冷麵,0.117,old
巧克力蛋糕,0.118,old
豬肉麵,0.121,old
星巴克,0.127,old
雞腿排便當大,0.127,old
蛋餅,0.129,old
便當,0.133,old
火鍋,0.138,old
港式料理,0.146,old
義大利麵,0.161,old
麻糬煎餅,0.163,old
肉湯圓,0.214,old
豬肉,0.214,old
豬肉,0.214,new
豬肉,0.214,new
豬肉,0.214,new
豬肉,0.214,new
豬肉,0.214,new
豬肉,0.214,new
豬肉,0.214,new
豬肉,0.214,new
